9,Osypka GmbH,Retainer (Silicone rings),Retainer (Silicone rings),Unconditional,4-June-2013,Class 2,"Supplier contract
Certification
Supply history",20-juin-15,NO,9,no,yes,yes,Eal-H.-Wood Str.1,79618,Rheinfelden,Germany,49 (0) 7623 7405 150,49 (0) 7623 7405 160
10,Nelipak,Implant blister primary packaging,Implant blister primary packaging,Unconditional,04-June-2013,Class 2,"Supplier contract
Certification
Supply history
Trade reputation",1-août-15,NO,10,no,yes,yes,Massheseweg 75,5804 AB ,Venray,Netherlands,+31/478/529000,+31/478/529010
11,Roth Sochiel Eurl (distributor for Watson Marlow tubing),"General Laboratory accessories including plastic tubes, , Isopropanol, Ethanol","General Laboratory accessories including plastic tubes, , Isopropanol, Ethanol",Unconditional,31-May-2013,Class 3,"Certification
Supply history
",5-juil.-16,NO,11,no,yes,yes,"3, rue de la Chappelle",67630,Lauterbourg,France,33 (0) 158 308 445,33 (0) 388 54 63 93
12,NuSil technology europe,Silicones,Silicones,Unconditional,29-May-2013,Class 3,"Certification
Supply history
Trade reputation",1-juil.-15,NO,12,no,yes,yes,"Le Natura Bat 2, 1198, avenue Maurice Donat",06250,Mougins,France,33 (0) 492 969 331,33 (0) 492 960 637
13,Harry Wegner GmbH & Co. KG (distributor for DELO),Adhesives for implant assembly,Adhesives for implant assembly,Unconditional,29-May-2013,Class 3,"Certification
Supply history
",29-oct.-15,NO,13,no,yes,yes,Bullerdeich 51,20537,Hamburg,Germany,49 (0) 40 237 007-0,49 (0) 40 234 206
14,Schott Electronic Packaging GmbH,Glass lids,Glass lids,Unconditional,29-May-2013,Class 3,"Certification
Supply history
",28-avr.-16,NO,14,no,yes,yes,Christoph-Dorner-Str. 29,84028,Landshut,Germany,49 (0) 871 826 0,49 (0) 364 128 889 222
15,Techni Industries France,Adhesives,Adhesives,Unconditional,29-May-2013,Class 3,"Supply history
Trade reputation",none,NO,15,no,yes,yes,"24-28 avenue Graham Bell, ZAC Léonard de Vinci, Bâtiment Gauguin n°7",77600,Bussy Saint Georges,FRANCE,33 (0) 1 60 94 01 30,33 (0) 1 60 54 98 95
16,Micross,"Electronic components and accessories including: capacitors, Diodes, Resistors, Waffle packs","Electronic components and accessories including: capacitors, Diodes, Resistors, Waffle packs",Unconditional,31-May-2013,Class 3,"Certification
Supply history
Evidence of a establish standard
",21-nov.-17,NO,16,no,yes,yes,2 Hellesdon Park Road,NR6 5 DR,"Norwich, Norfolk",United Kingdom,+441603/788967,+441603/788920
17,Ferro,Glass solder paste,Glass solder paste,Unconditional,25-June-2013,Class 3,"Certification
Supply history
",12-mai-15,NO,17,no,yes,yes,"Unit 1 lime Grove Instustrial Estate;
Falconer Road",CB9 7XU,"Haverhill, Suffolk",United Kingdom,44 (0) 144 0711 980,44 (0) 144 0711 981
18,Alcon,Balanced Salt Solutions BSS,Balanced Salt Solutions BSS,Unconditional,30-Jan.-2014,Class 4,"Supply history
Trade reputation",none,NO,18,no,yes,yes,"4, rue Henri Sainte-Claire Deville",F-92563,RUEL-MALMAISON Cedex,France,33 (0) 147 10 48 90,33 (0) 147 10 47 00
19,Prototec,Plastic parts (VI),Plastic parts (VI),Unconditional,9-July-2013,Class 4,"Certification
Supply history
",6-nov.-17,NO,19,no,yes,yes,Askay 18,57439,Attendorn,Germany,+49 272 295 95 95,+49 272 295 9597
20,Leclanché,battery for Pocket Processor,battery for Pocket Processor,Unconditional,25-June-2013,Class 3,"Certification
Supply history
",31-déc.-15,NO,20,no,yes,yes,Avenue des sports 42,1401,Yverdon-les-Bains,Suisse,33 (0) 4 75 67 48 30,33 (0) 9 63 58 97 98
21,P.J. Dahlauser &Co GmbH,Camera drapes ,Camera drapes,Unconditional,20-nov.-13,Class 3,"Certification
Evidence of a establish standard
",30-juin-15,NO,21,no,yes,yes,"Emil-Hoffmann, str 53",D-50996,KÖLN,Germany,00 49 2236 39 130,00 49 2236 39 13109
22,Mouser Electronics,Off the shelf electronic components and services,Off the shelf electronic components and services,Unconditional,25-June-2013,Class 4,"Certification
Supply history

",8-sept.-16,NO,22,no,yes,yes,"Le Voltaire, 1, Avenue Leo Lagrange",19100,Brive-La-Gaillarde,France,33 (0) 555 85 79 96,33 (0) 555 85 79 97
23,RS Components,Electronic,Electronic,Unconditional,29-Aug-2013,Class 4,"Supply history
Trade reputation",none,NO,23,no,no,yes,rue norman king BP 40453,60031,Beauvais,France,NA,NA
24,Oculari,Visual Interface glasses,Visual Interface glasses,Unconditional,01-aug-2013,Class 4,"Certification
Supply history
",20-janv.-17,NO,24,no,yes,yes,Königwinterer Str. 681,53227,Bonn,Germany,0228 944 988 3,0228 944 988 4
25,Diolan Ltd,Electronic Boards,Electronic Evaluation boards,Not Applicable,12-july-2014,N.A,N.A,none,NO,25,N.A,N.A,N.A,PO box 652,76106,Rehovot,Israel,972 (0) 52 67 37 505,972 (0) 894 54 342
26,Trenz ElectronicGMBH,FPGA Micromodules,FPGA Micromodules,Unconditional,20-nov.-13,Class 4,"Trial delivery
Trade reputation",none,NO,26,no,yes,yes,Holzweg 19A,32257,Bunde,Germany,NA,NA
27,Gerald Kann,chin rest and mechanical device,chin rest and mechanical device,Not Applicable,25-June-2013,N.A,N.A,none,NO,27,N.A,N.A,N.A,"Gernoder Str,24",39116,Magedeburg,Germany,49 39 16 62 56 95,49 39 16 62 56 96 
28,VARIOPTIC,R&D only,R&d only,Not Applicable,10-June-2013,N.A,N.A,none,NO,28,N.A,N.A,N.A,"Batiment Tony Garnier, 24B rue Jean Baldassini",69007,Lyon,France,33 (0)4 37 65 35 31,33(0)4 37 65 35 30
29,LCIE Bureau veritas,"Test per IEC62471,EN45502-1 (standards)","Test per IEC62471,EN45502-1 (standards)",Not Applicable,10-June-2013,N.A,N.A,none,NO,29,N.A,N.A,N.A,33 avenue du Général Leclerc,92260,Fontenay aux Roses,France,01 40 95 60 60 ,01 40 95 86 56
30,Intertek,Test per IEC 60601-1 (standards),Test per IEC 60601-1 (standards),Not Applicable,10-June-2013,N.A,N.A,none,NO,30,N.A,N.A,N.A,"Cleeve road, Leathearhead","KT22,75B",Surrey,UK,0044 13 72 37 09 00,0044 13 72 37 09 99
31,BSI,Standards,Standards,Not Applicable,10-June-2013,N.A,N.A,none,NO,31,N.A,N.A,N.A,389 chiswick High road ,W4 4AL,London,UK,NA,0044 20 89 96 70 01
32,THORLABS,Equipment(R&D),Equipment(R&D),Not Applicable,25-June-2013,N.A,N.A,none,NO,32,N.A,N.A,N.A,"109,rue des Côtes ",78600,Maisons-Lafitte,France,33 (0) 970 44 48 44,33 (0)825 744 800 
33,OPTEC,Laser sealing system (equipment),Equipment,Not Applicable,10-June-2013,N.A,N.A,none,NO,33,N.A,N.A,N.A,53 avenue des Nouvelles Technologies,B-7080,Frameries,Belgium,00 32 65 78 18 08,00 32 65 78 20 35 
34,IEC,Standards,Standards,Not Applicable,10-June-2013,N.A,N.A,none,NO,34,N.A,N.A,N.A,3 rue de Varembe PO BOX 131,CH1211,Geneva 20,Switzerland,0041 22 91 90 211,0041 22 91 90 300
35,HS Robotics GmbH,Screws for Visual Interface,Screws for Visual Interface,Unconditional,20-nov.-13,Class 4,"Certification
Trial delivery",1-mai-17,NO,35,no,yes,yes,Hagener SraBe 5G,58553,Halver,Deutschland,,
36,CONTAG AG,Circuit board,Circuit board,Unconditional,25-June-2013,Class 3,"Certification
Supply history
Trade reputation",27-févr.-17,NO,36,no,yes,yes,Paewesiner Weg 30,13581,Berlin,Germany,0049 30 351 788-0,00 49 30 351 788-100
37,CAE Automation GmbH,Assembly of components with PBCS for VI,Assembly of components with PBCS for VI,Unconditional,25-June-2013,Class 3,"Certification
Supply history
Trade reputation
",13-déc.-15,NO,37,no,yes,yes,AkazienstraBe 5,64560,Riedstadt,Germany,0049 61 58 74 750,0049 61 58 74 75 29
38,Farnell,Off the shelf electronic components and services,Off the shelf electronic components and services,Unconditional,13-June-2013,Class 4,"Supply history
Trade reputation",none,NO,38,no,no,yes,"81-83 rue Henri Depagneux
BP 60426 Limas",69654,Villefranche sur SaôneCedex,France,04 74 68 99 99,04 74 68 99 90
39,IDIL,characterization material for source light R&D,characterization material for source light R&D,Not Applicable,25-June-2013,N.A,N.A,none,NO,39,N.A,N.A,N.A,"Espace Chappe, rue Claude Chappe",22300,Lannion,France,02 96 05 40 20 ,02 96 05 40 25
40,SILICA,Sotware for development and electronic components,Sotware for development and electronic components,Not Applicable,25-June-2013,N.A,N.A,none,NO,40,N.A,N.A,N.A,NA,NA,NA,NA,NA,NA
41,Amazon,equipment and offices supplies,equipment and offices supplies,Not Applicable,25-June-2013,N.A,N.A,none,NO,41,N.A,N.A,N.A,NA,NA,NA,NA,NA,NA
42,Ellsworth,Adhesive,Adhesive,Unconditional,11-sept.-13,Class 3,"Certification
Trade reputation",12-févr.-16,NO,42,no,yes,yes,"16 rue Ampère,Immeuble SOMAG",95300,Pointoise,France,01 30 30 30 18,01 30 30 97 64 
43,CADVision,Software,Software,Not Applicable,25-June-2013,N.A,N.A,none,NO,43,N.A,N.A,N.A,2 rue Galilée ,78280,Guyancourt,France,01 39 30 65 12,01 39 30 65 08
44,Mueller,Coils for visual interface,Coils,Unconditional,27-juin-13,Class 3,"Certification
Supply history",28-févr.-15,NO,44,no,yes,yes,Siegener strasse 44,51580,Reichshof-Wildbergerhuette,Germany,49 (0) 2297 7194,49 (0) 2297 7315
45,LUNEAU SAS,Contact lenses,Contact lenses,Unconditional,20-nov.-13,Class 4,"Certification
Trial delivery",24-avr.-15,NO,45,no,yes,yes,Avenue Malaguet ,28360,Prunay le Gilllon,France,33 (0) 2 37 25 25 25,33 (0) 2 37 25 75 99
46,KOPERA,Sterile saline water ,Sterile saline water ,Unconditional,9-July-2013,Class 4,"Certification
Supply history",14-nov.-16,NO,46,no,yes,yes,Sporenstrase 46,D-58644,Iserlol 0,Germany,49 23 71 29 791,49 23 71 24 539
47,MC Technologies,Cable connecting the VI and PP,Cable connecting the VI and PP,Unconditional,05-juin-14,Class 3,"Certification
Trial delivery",15-mai-17,NO,47,no,yes,yes,Kabelkamp 2 ,D-20179,Hannover,Germany,+ 49 511 67 69 99-0 ,NA
48,Photon lines,Optics equipment ,Optics equipment ,Not Applicable,9-July-2013,N.A,N.A,none,NO,48,N.A,N.A,N.A,"Bat B, 99 rue Pereire",78100,St Germain en Laye,France,01 30 08 99 00,01 30 08 99 09
49,critical links,Embedded processor modules for PP,Embedded processor modules for PP,Unconditional,25-sept.-14,Class 3,"Trial delivery
Trade reputation",none,NO,49,no,yes,yes,6712 Brooklawn Parkway,NY 13211 ,Syracuse,USA,315 425 40 45,3 154 254 048
50,Emedco,Labels,Labels,Not Applicable,9-July-2013,N.A,N.A,none,NO,50,N.A,N.A,N.A,PO box 369,NY 14240,Buffalo,USA,1-866-222-4743,1-800-344-2578
51,Gigahertz optics,Calibration of equipment,Calibration of equipment,Not Applicable,9-July-2013,N.A,N.A,none,NO,51,N.A,N.A,N.A,An der Kalberweide 12,D-82299,Turkenfeld,Germany,08 193/ 93700-40,08 193/ 93700-50
52,Chimie Tech Services,Supplies for cleanroom,Supplies for cleanroom ,Unconditional,18-July2013,Class 3,"history of supply
Trade reputation",none,NO,52,no,yes,yes,7 rue Marcellin berthelot,92762,antony cedex,France,01 55 59 55 81,01 55 59 55 90
53,Metrologie Rhones Alpes,Dimension control measurement for Retinal Implant parts,Dimension control measurement for Retinal Implant parts,Unconditional,18-July2013,Class 3,"Certification
Trade reputation",1-juil.-17,NO,53,no,yes,yes,allee Guimet -Centre Artisanal Bleu Guimet,69250,Fleurieu-sur-Saône,France,04 78 61 72 56,09 70 32 75 18
54,Healtis,MRI Compatibilty test,MRI Compatibilty test,Not Applicable,17-july-2013,N.A,N.A,none,NO,54,N.A,N.A,N.A,"CHU de Nancy Brabois, 4ème étage Tour Drouet , 5 rue du Morvan ",54511,Vandoeuvre Les nancy,France,09 70 40 54 79 ,NA
55,CNRS,Providing analysis in SEM,Providing analysis in SEM,Not Applicable,17-july-2012,N.A,N.A,none,NO,55,N.A,N.A,N.A,"Univeristé paris Diderot -Paris7
Bât.Condorcet, case courier 7021,
10rue Alice Domon et Léonie Duquet",75205,Paris cedex 13,France,01 57 27 69 13,01 57 27 62 41
56,ripplon,Software,Software,Not Applicable,02-sept.-13,N.A,N.A,none,NO,56,N.A,N.A,N.A,1607-610 Victoria St,V3M OA5,New Wesminster BC,Canada,NA,NA
57,share-it,Software,Software,Not Applicable,17-july-2013,N.A,N.A,none,NO,57,N.A,N.A,N.A,10380 bren Road West,MN 55343 ,Minnetonka,USA,+19522531234,+1 952 253 8497
58,Digital light innovation,Software,Software,Not Applicable,17-july-2013,N.A,N.A,none,NO,58,N.A,N.A,N.A,"4501 Spicewood Springs road, suite 1000",78759,Austin,texas,NA,NA
59,instrumex,equipment and calibration,equipment,Unconditional,14-nov.-14,Class 4,"Certification
service per an established standard",29-juil.-19,NO,59,N.A,N.A,N.A,Mulweg2,82054,Sauerlach,Germany,+498104/6675-0,+498104/6675-50
60,Iplus concept,software,software,Not Applicable,17-july-2013,N.A,N.A,none,NO,60,N.A,N.A,N.A,9 rue Jules Lemoine,91290,Arpajon,France,NA,NA
61,Diedre design,Design of the visual Interface,Design of the visual Interface,Not Applicable,17-july-2013,N.A,N.A,none,NO,61,N.A,N.A,N.A,38 rue Remilly,78000,Versailles,France,01 30 21 77 66,01 30 21 79 07
62,Axena,Design of the visual Interface,Design of the visual Interface,Not Applicable,17-july-2013,N.A,N.A,none,NO,62,N.A,N.A,N.A,6 Parc des Fontenelles,788870,Bailly,France,01 30 80 56 10,NA
63,Caiman design ,Design of the visual Interface,Design of the visual Interface,Not Applicable,17-july-2013,N.A,N.A,none,NO,63,N.A,N.A,N.A,17 rue de la Fraternité,94300,Vincennes,France,01 75 64 10 80 ,01 58 64 02 65
64,Omnigroup,software,software,Not Applicable,18-july-2013,N.A,N.A,none,NO,64,N.A,N.A,N.A,"1000 Dexter Ave N, Suite 400",W98109-3583,Seattle,USA,+1 206-523-4152,+1 206-523-5896
65,Sodistrel,Labels,labels,Not Applicable,01-aug-2013,N.A,N.A,none,NO,65,N.A,N.A,N.A,"1 rue du ruisseau blanc, ZA de Lunezy",91620,Nozay,France,01 64 49 51 51 ,01 69 01 21 32
66,online components,electronics component,elctronics component,Not Applicable,01-aug-2013,N.A,N.A,none,NO,66,N.A,N.A,N.A,11125 S.Eastern Ave. Ste120,NV 89052,Henderson,USA,NA,NA
67,coop labo,Supplies for laboratory,Supplies for laboratory,Unconditional,01-aug-2013,Class 3,"history of supply
Trade reputation",none,NO,67,no,yes,yes,BP 20271,91162,Longjumeau cedex,France,01 69 10 60 00,01 69 10 86 80
68,Polyrepro,prototype,prototype,Unconditional,27-janv.-14,Class 4,"history of supply
Trade reputation",none,NO,68,no,no,yes,63 rue de la garenne,92310,sevres,France,01 49 66 68 68,01 49 66 68 60
69,GMC Instruments France SA,Clinical protocol equipment and calibration,Clinical protocol equipment,Unconditional,14-nov.-14,Class 4,"Certification
service per an established standard",12-juil.-17,NO,69,N.A,N.A,N.A,3 rue rené Cassin,91349,Massy Cedex,France,01 69 20 89 49,01 69 20 54 92
70,Beaver Visitec International BVI,ophtalmic and microsurgical instruments,ophtalmic and microsurgical instruments,Not Applicable,21-Aug-2013,N.A,N.A,none,NO,70,N.A,N.A,N.A,NA,NA,NA,NA,04 85 88 00 33,NA
71,Batteries online,battery ,battery ,Not Applicable,21-Aug-2013,N.A,N.A,none,NO,71,N.A,N.A,N.A,2D rue georges Mélies,78390,Bois d'acy,France,01 79 97 90 85,NA
72,PCB Electronics,PCB,PCB,Not Applicable,27-Aug-2013,N.A,N.A,none,NO,72,N.A,N.A,N.A,45 rue de la cascade,38660,La terrasse ,France,04 76 52 73 31,04 76 52 94 95
73,Vacom Vacuum Components & Metrology bvba,vacuum tight chambers for helium leakage test ,vacuum tight chambers for helium leakage test ,Not Applicable,29-Aug-2013,N.A,N.A,none,NO,73,N.A,N.A,N.A,Stationsstraat 180/20,3100,Rotselaar,Belgium,NA,NA
74,Spetec Gmbh,Filters for flowbox,Filters for flowbox,Unconditional,02-sept.-13,Class 3,"Certification
Supply history",14-mars-16,NO,74,no,yes,yes,"berghamer,Str.2",85435,Erding,Germany,00 49 81 22 99 533,00 49 81  22 10 937 
75,CAD Informatique,Software,Software,Not Applicable,29-Aug-2013,N.A,N.A,none,NO,75,N.A,N.A,N.A,25 avenue de la résistance ,77500,Chelles,France,01 60 20 11 11, 01 60 20 06 16
76,Med pass International,"assistance in regulatory approval , reporting of adverse events and monitoring clinical studies","assistance in regulatory approval , reporting of adverse events and monitoring clinical studies",Unconditional,27-janv.-14,Class 4,"
Audit Report
trade reputation",none,NO,76,yes,no,no,95 bis bd Pereire,75017,Paris,France,01 42 12 83 30,01 40 53 81 11
77,Kaluti System,design of glasses,design of glasses,Not Applicable,10-sept.-13,N.A,N.A,none,NO,77,N.A,N.A,N.A,"Bat.503, centre Scientifique d'Orsay",91893,Orsay cedex,France,01 69 35 88 83,01 64 59 87 57
78,JMS,mechanical assemblies,mechanical assemblies,Not Applicable,10-sept.-13,N.A,N.A,none,NO,78,N.A,N.A,N.A,59 rue de la vallée du bois,92140,Clamart,France,01 46 38 09 89,01 46 38 09 22
79,Edmund Optics Ltd,Equipment,Equipment,Not Applicable,11-sept.-13,N.A,N.A,none,NO,79,N.A,N.A,N.A,"unit 1, Opus avenue",Y0266BL,"Nether poppleton, york",United Kingdom,0044 1904 788 600,0044 1904 788 610
80,Baaske Medical,Ethernet isolation,Ethernet isolation,Unconditional,20-déc.-13,Class 4,"Certification
Supply history",20-mars-17,NO,80,no,yes,yes,Bacmeistterstrasse 3,32312,Lubbecke,Germany,00 49 57 41 23 60 27-0,00 49 57 41 23 60 27 -99
81,Industrifil,Cables for VI manufacturing,Cables for VI manufacturing,Unconditional,20-nov.-13,Class 3,"Trial delivery
Evidence of a establish standard",none,NO,81,no,no,yes,7 rue entre vignes,30470,Aimargues,France,04 66 88 66 00,04 66 88 66 22
82,Trescal ,Calibration and maintenance of equipment,Calibration and maintenance of equipment,Unconditional,11-sept.-13,Class 4,"Certification
Supply history",31-janv.-19,NO,82,no,yes,yes,8 rue de l'Esterel BP 30441-SILIC,94593,Rungis,France,01 56 10 36 36,01 56 70 36 30
83,Cartonnage Vincent Jouret,IRIS 1 system packaging,IRIS 1 system packaging,Not Applicable,19-sept.-13,N.A,N.A,none,NO,83,N.A,N.A,N.A,7 eur ampère ,7200,Aubenas,France,04 75 93 67 30,04 75 35 48 00
84,LNE,Standards tests,Standards tests,Not Applicable,19-sept.-13,N.A,N.A,none,NO,84,N.A,N.A,N.A,29 avenue Roger hennequin,78197,Trappes,France,01 30 69 10 00,01 30 69 12 34
85,Rood microtec,"programming, thinning, dicing of Retina wafers","programming, thinning, dicing of Retina wafers",Unconditional,17-sept.-13,Class 3,"Certification
Supply history",13-mai-16,NO,85,no,yes,yes,Oettinger Str.6,86720,Nordlinger,Germany,+49 9081 804-0,+49 9081 804-208
86,Micro system Engineering,LTCC Ceramic,LTCC Ceramic,Not Applicable,19-sept.-13,N.A,N.A,none,NO,86,N.A,N.A,N.A,"Schleweg 17,",95180,Berg,Germany,00 49 (9293) 78-716, 00 49 (9293) 78-741
87,Micro epsilon,Camera ,Camera ,Not Applicable,19-sept.-13,N.A,N.A,none,NO,87,N.A,N.A,N.A,14-16 rue des Gaudines,78100,Saint germain en laye,France,01 39 10 21 00 ,01 39 73 96 57
88,Advanced circuits,PCB Assembly,PCB Assembly,Not Applicable,19-sept.-13,N.A,N.A,none,NO,88,N.A,N.A,N.A,"21101 E. Parkway,",CO 80011,Aurora,Germany,NA,NA 
89,Optique de precision J.Fichou,optic device,optic device,Not Applicable,26-sept.-13,N.A,N.A,none,NO,89,N.A,N.A,N.A,30 rue de la Garenne,94260,Fresnes,France,01 46 66 15 18,01 49 84 06 75
90,Digikey,off the shelf electroniccomponents,off the shelf electroniccomponents,Not Applicable,26-sept.-13,N.A,N.A,none,NO,90,N.A,N.A,N.A,701 Brooks Avenue South,MN56701,Thief river falls,USA,0033 53 484 9584,0033 38 717 0111
91,Beehive Electronics,"EMC probes, equipment","EMC probes, equipment",Not Applicable,26-sept.-13,N.A,N.A,none,NO,91,N.A,N.A,N.A,855 Laurence Lane,CA 95472,Sebastopol,USA,17 078 249 206,17 075 811 955
92,SDL Atlas Ltd,"Ball pressure tester, equipment","Ball pressure tester, equipment",Not Applicable,26-sept.-13,N.A,N.A,none,NO,92,N.A,N.A,N.A,PO box 162 Crown royal,SK1 3JW,Stockport,United Kingdom,0044 161 480 84 85, '0044 161 480 85 80
93,Valotec,Services for development  and manufacturing,Services for development  and manufacturing,Unconditional,09-avr.-14,Class 3,"Certification
Audit report",25-juin-15,NO,93,yes,yes,yes,94 rue Marcel Bonnet,94230,Cachan,France,01 45 46 40 10,NA
95,Mecmesin,Equipment,Equipment,Not Applicable,01-oct.-13,N.A,N.A,none,NO,95,N.A,N.A,N.A,4 chemin des Isles,10260,Virey sous bar,France,06 71 97 38 70,03 25 29 82 47
96,ASTM,Standards,Standards,Not Applicable,01-oct.-13,N.A,N.A,none,NO,96,N.A,N.A,N.A,"100 barr Harbor drive
PO Box C700",PA 19428-2959,West Conshohocken,USA,1 610-832-9585,NA
97,IMEC,Chips for camera (PN 6700'S),Integrated circuits,Unconditional,01-oct.-13,Class 3,"Certification
Trade reputation",1-juil.-15,NO,97,no,yes,yes,Kapeldreef 75,B-3001,Leuven,Belgium,32 (0) 16 281 248,32 (0) 16 281 584
98,Laboratoire Croma,surgical equipment use for implantation,surgical equipment use for implantation,Unconditional,20-nov.-13,Class 3,"trial delivery
Trade reputation",none,NO,98,no,no,yes,"Atrium rive Gauche,19Bd paul Vaillant Couturier",94854,Ivry sur Seine,France,01 45 15 60 60,01 46 58 62 91 
99,Laboderm,surgical equipment use for implantation,surgical equipment use for implantation,Not Applicable,04-juin-14,Class 3,"trial delivery
Trade reputation",none,NO,99,no,no,yes,14 rue ferdinand de Lesseps,95190,Goussainville,France,01 30 18 91 18,01 34 04 88 44
100,Viveris,"maintenance fitting sotware, electronic, software design",maintenance fitting sotware,Not Applicable,30-juin-14,N.A,N.A,none,NO,100,N.A,N.A,N.A,1 rue Traversière BP 20327,94598,Rungis,France,01 41 73 08 20,01 41 73 08 49
101,Geuder,"Retina tacks , surgical tools","Retina tacks , surgical tools",Unconditional,09-avr.-14,Class 2,"Supplier contract
Certification
Supply history",25-mai-17,NO,101,no,yes,yes,hertzstrasse 4,69126,Heidelberg,Germany,00 49 62 213 066, 00 49 62 213 03122
102,CONRAD,Off the shelf electronic components and services,Off the shelf electronic components and services,Not Applicable,22-oct.-13,N.A,N.A,none,NO,102,N.A,N.A,N.A,"Zone commercial Englos les Geants, lieu dit rue du Hem, TSA 72001 SEQUEDIN",59458,LOMME Cedex,France,NA,NA
103,FEINMETTAL,Probecard for electrical test (IRIS2),Probecard for electrical test (IRIS2),Not Applicable,22-oct.-13,N.A,N.A,none,NO,103,N.A,N.A,N.A,Zeppelimstrasse 8,D-71083,Herrenberg,France,+49 7032 2001 0,+49 7032 2001 28
104,Moryan decoration,characters & letters in plastic,characters & letters in plastic,Not Applicable,20-nov.-13,N.A,N.A,none,NO,104,N.A,N.A,N.A,NA,NA,NA,NA,NA,NA
105,RAJA,General packaging,General packaging,Not Applicable,20-nov.-13,N.A,N.A,none,NO,105,N.A,N.A,N.A,"16 rue de l'etang, Paris nord 2",95977,Roissy CGD Cedex,France,08 20 30 63 06,08 20 30 63 07
106,Etui Rationnel,pocket processor pouch,pocket processor pouch,Unconditional,05-juin-14,Class 4,"trial delivery
Trade reputation",none,NO,106,no,no,yes,18 rue BASFROI,75011,Paris,France,01 43 79 20 19, 01 43 79 30 09
107,MUL micro Usinage Laser,machining services,machining services,Not Applicable,20-nov.-13,N.A,N.A,none,NO,107,N.A,N.A,N.A,"ZA La Gravette, 
20 rue de la Gravette, Local n° 3",31150,GRATENTOUR,France,05 34 57 84 98,05 34 57 93 41 
108,Liquidware,Off the shelf electronic components ,Off the shelf electronic components ,Not Applicable,20-nov.-13,N.A,N.A,none,NO,108,N.A,N.A,N.A,"960 Turnpike Street, unit 15",MA 02021,Canton,USA,NA,NA
109,C OTTO ,Custm made O rings,Custm made O rings,Unconditional,17-déc.-13,Class 3,"Certification
Trade reputation",30-juin-16,NO,109,NO,YES,YES,Gehrstucken 9,25421,Pinneberg,Germany,49 (0)4101 50 02-0,49 (0)4101 50 02-83
110,IEEE,Publication,Publication,Not Applicable,26-nov.-13,N.A,N.A,none,NO,110,N.A,N.A,N.A,445 Hoes Lane ,NJ 08855,Piscataway,USA,01 73 25 62 54 91,01 73 29 81 93 34
